================ Training Loss (Sun May  5 19:36:48 2024) ================
(epoch: 20, iters: 1344, time: 0.010, data: 0.001) D_A: 0.289 G_A: 0.412 cycle_A: 0.385 idt_A: 0.356 D_B: 0.218 G_B: 0.234 cycle_B: 0.832 idt_B: 0.170 
(epoch: 21, iters: 720, time: 0.010, data: 0.001) D_A: 0.302 G_A: 0.645 cycle_A: 0.515 idt_A: 0.431 D_B: 0.212 G_B: 0.277 cycle_B: 0.942 idt_B: 0.184 
(epoch: 22, iters: 96, time: 0.010, data: 0.002) D_A: 0.249 G_A: 0.615 cycle_A: 0.492 idt_A: 0.494 D_B: 0.188 G_B: 0.536 cycle_B: 1.337 idt_B: 0.204 
(epoch: 22, iters: 1296, time: 0.010, data: 0.002) D_A: 0.432 G_A: 0.433 cycle_A: 0.459 idt_A: 0.385 D_B: 0.277 G_B: 0.303 cycle_B: 0.875 idt_B: 0.192 
(epoch: 23, iters: 672, time: 0.010, data: 0.002) D_A: 0.689 G_A: 0.897 cycle_A: 0.440 idt_A: 0.350 D_B: 0.290 G_B: 0.466 cycle_B: 0.881 idt_B: 0.173 
(epoch: 24, iters: 48, time: 0.009, data: 0.002) D_A: 0.213 G_A: 0.310 cycle_A: 0.423 idt_A: 0.354 D_B: 0.249 G_B: 0.516 cycle_B: 0.819 idt_B: 0.170 
(epoch: 24, iters: 1248, time: 0.010, data: 0.002) D_A: 0.222 G_A: 0.434 cycle_A: 0.415 idt_A: 0.367 D_B: 0.318 G_B: 0.261 cycle_B: 0.858 idt_B: 0.168 
(epoch: 25, iters: 624, time: 0.010, data: 0.002) D_A: 0.218 G_A: 0.439 cycle_A: 0.529 idt_A: 0.362 D_B: 0.240 G_B: 0.272 cycle_B: 0.854 idt_B: 0.178 
(epoch: 25, iters: 1824, time: 0.009, data: 0.002) D_A: 0.347 G_A: 0.122 cycle_A: 0.498 idt_A: 0.390 D_B: 0.238 G_B: 0.474 cycle_B: 0.929 idt_B: 0.201 
(epoch: 26, iters: 1200, time: 0.010, data: 0.731) D_A: 0.184 G_A: 0.328 cycle_A: 0.427 idt_A: 0.321 D_B: 0.297 G_B: 0.243 cycle_B: 0.787 idt_B: 0.174 
(epoch: 27, iters: 576, time: 0.010, data: 0.002) D_A: 0.238 G_A: 0.661 cycle_A: 0.552 idt_A: 0.408 D_B: 0.267 G_B: 0.142 cycle_B: 1.120 idt_B: 0.237 
(epoch: 27, iters: 1776, time: 0.010, data: 0.002) D_A: 0.346 G_A: 0.839 cycle_A: 0.414 idt_A: 0.373 D_B: 0.534 G_B: 1.313 cycle_B: 0.930 idt_B: 0.204 
(epoch: 28, iters: 1152, time: 0.011, data: 0.002) D_A: 0.196 G_A: 0.407 cycle_A: 0.464 idt_A: 0.334 D_B: 0.247 G_B: 0.468 cycle_B: 0.861 idt_B: 0.190 
(epoch: 29, iters: 528, time: 0.010, data: 0.001) D_A: 0.190 G_A: 0.410 cycle_A: 0.422 idt_A: 0.422 D_B: 0.261 G_B: 0.132 cycle_B: 0.988 idt_B: 0.169 
(epoch: 29, iters: 1728, time: 0.010, data: 0.001) D_A: 0.207 G_A: 0.224 cycle_A: 0.511 idt_A: 0.352 D_B: 0.334 G_B: 0.198 cycle_B: 0.866 idt_B: 0.186 
(epoch: 30, iters: 1104, time: 0.013, data: 0.002) D_A: 0.189 G_A: 0.376 cycle_A: 0.467 idt_A: 0.320 D_B: 0.206 G_B: 0.269 cycle_B: 0.805 idt_B: 0.184 
(epoch: 31, iters: 480, time: 0.011, data: 0.001) D_A: 0.258 G_A: 0.515 cycle_A: 0.441 idt_A: 0.341 D_B: 0.194 G_B: 0.223 cycle_B: 0.837 idt_B: 0.156 
(epoch: 31, iters: 1680, time: 0.010, data: 0.000) D_A: 0.205 G_A: 0.637 cycle_A: 0.415 idt_A: 0.344 D_B: 0.221 G_B: 0.238 cycle_B: 0.940 idt_B: 0.174 
(epoch: 32, iters: 1056, time: 0.011, data: 0.002) D_A: 0.341 G_A: 0.101 cycle_A: 0.401 idt_A: 0.325 D_B: 0.262 G_B: 0.145 cycle_B: 0.794 idt_B: 0.185 
(epoch: 33, iters: 432, time: 0.010, data: 0.002) D_A: 0.449 G_A: 1.199 cycle_A: 0.900 idt_A: 0.442 D_B: 0.210 G_B: 0.530 cycle_B: 1.231 idt_B: 0.237 
(epoch: 33, iters: 1632, time: 0.011, data: 0.000) D_A: 0.262 G_A: 0.170 cycle_A: 0.369 idt_A: 0.324 D_B: 0.272 G_B: 0.264 cycle_B: 0.756 idt_B: 0.156 
(epoch: 34, iters: 1008, time: 0.010, data: 0.002) D_A: 0.247 G_A: 0.272 cycle_A: 0.423 idt_A: 0.332 D_B: 0.209 G_B: 0.272 cycle_B: 0.762 idt_B: 0.172 
(epoch: 35, iters: 384, time: 0.011, data: 0.002) D_A: 0.181 G_A: 0.550 cycle_A: 0.372 idt_A: 0.326 D_B: 0.232 G_B: 0.193 cycle_B: 0.790 idt_B: 0.154 
(epoch: 35, iters: 1584, time: 0.010, data: 0.003) D_A: 0.192 G_A: 0.380 cycle_A: 0.406 idt_A: 0.313 D_B: 0.213 G_B: 0.284 cycle_B: 0.724 idt_B: 0.150 
(epoch: 36, iters: 960, time: 0.011, data: 0.002) D_A: 0.218 G_A: 0.219 cycle_A: 0.455 idt_A: 0.333 D_B: 0.235 G_B: 0.213 cycle_B: 0.791 idt_B: 0.169 
(epoch: 37, iters: 336, time: 0.011, data: 0.002) D_A: 0.113 G_A: 1.053 cycle_A: 0.653 idt_A: 0.542 D_B: 0.107 G_B: 0.506 cycle_B: 1.604 idt_B: 0.330 
(epoch: 37, iters: 1536, time: 0.010, data: 0.001) D_A: 0.200 G_A: 0.564 cycle_A: 0.605 idt_A: 0.374 D_B: 0.129 G_B: 0.464 cycle_B: 1.011 idt_B: 0.293 
(epoch: 38, iters: 912, time: 0.013, data: 0.002) D_A: 0.406 G_A: 0.109 cycle_A: 0.606 idt_A: 0.413 D_B: 0.152 G_B: 0.768 cycle_B: 1.121 idt_B: 0.241 
(epoch: 39, iters: 288, time: 0.011, data: 0.002) D_A: 0.147 G_A: 0.513 cycle_A: 0.604 idt_A: 0.434 D_B: 0.327 G_B: 0.081 cycle_B: 1.176 idt_B: 0.225 
(epoch: 39, iters: 1488, time: 0.010, data: 0.000) D_A: 0.190 G_A: 0.254 cycle_A: 0.502 idt_A: 0.361 D_B: 0.239 G_B: 0.255 cycle_B: 0.980 idt_B: 0.208 
(epoch: 40, iters: 864, time: 0.011, data: 0.002) D_A: 0.182 G_A: 0.311 cycle_A: 0.456 idt_A: 0.337 D_B: 0.165 G_B: 0.401 cycle_B: 0.963 idt_B: 0.195 
(epoch: 41, iters: 240, time: 0.010, data: 0.002) D_A: 0.179 G_A: 0.584 cycle_A: 0.471 idt_A: 0.357 D_B: 0.189 G_B: 0.390 cycle_B: 0.978 idt_B: 0.199 
(epoch: 41, iters: 1440, time: 0.010, data: 0.002) D_A: 0.198 G_A: 0.186 cycle_A: 0.516 idt_A: 0.330 D_B: 0.389 G_B: 0.939 cycle_B: 0.907 idt_B: 0.219 
(epoch: 42, iters: 816, time: 0.011, data: 0.002) D_A: 0.169 G_A: 0.341 cycle_A: 0.500 idt_A: 0.357 D_B: 0.375 G_B: 0.140 cycle_B: 0.893 idt_B: 0.183 
(epoch: 43, iters: 192, time: 0.011, data: 0.001) D_A: 0.218 G_A: 0.145 cycle_A: 0.410 idt_A: 0.302 D_B: 0.309 G_B: 0.837 cycle_B: 0.747 idt_B: 0.156 
(epoch: 43, iters: 1392, time: 0.011, data: 0.003) D_A: 0.186 G_A: 0.550 cycle_A: 0.441 idt_A: 0.337 D_B: 0.237 G_B: 0.412 cycle_B: 0.867 idt_B: 0.183 
(epoch: 44, iters: 768, time: 0.011, data: 0.002) D_A: 0.187 G_A: 0.464 cycle_A: 0.401 idt_A: 0.315 D_B: 0.253 G_B: 0.212 cycle_B: 0.808 idt_B: 0.151 
(epoch: 45, iters: 144, time: 0.013, data: 0.002) D_A: 0.302 G_A: 0.807 cycle_A: 0.382 idt_A: 0.321 D_B: 0.196 G_B: 0.503 cycle_B: 0.817 idt_B: 0.180 
(epoch: 45, iters: 1344, time: 0.010, data: 0.000) D_A: 0.393 G_A: 1.236 cycle_A: 0.483 idt_A: 0.323 D_B: 0.263 G_B: 0.362 cycle_B: 0.821 idt_B: 0.176 
(epoch: 46, iters: 720, time: 0.011, data: 0.002) D_A: 0.083 G_A: 0.501 cycle_A: 0.690 idt_A: 0.519 D_B: 0.112 G_B: 0.433 cycle_B: 1.288 idt_B: 0.292 
(epoch: 47, iters: 96, time: 0.011, data: 0.002) D_A: 0.175 G_A: 0.464 cycle_A: 0.523 idt_A: 0.368 D_B: 0.184 G_B: 0.640 cycle_B: 0.976 idt_B: 0.200 
(epoch: 47, iters: 1296, time: 0.010, data: 0.000) D_A: 0.099 G_A: 0.512 cycle_A: 1.072 idt_A: 0.459 D_B: 0.178 G_B: 0.645 cycle_B: 2.447 idt_B: 0.535 
(epoch: 48, iters: 672, time: 0.011, data: 0.001) D_A: 0.211 G_A: 0.209 cycle_A: 0.719 idt_A: 0.390 D_B: 0.374 G_B: 1.356 cycle_B: 1.053 idt_B: 0.303 
(epoch: 49, iters: 48, time: 0.009, data: 0.002) D_A: 0.215 G_A: 0.811 cycle_A: 0.625 idt_A: 0.387 D_B: 0.213 G_B: 0.780 cycle_B: 1.118 idt_B: 0.223 
(epoch: 49, iters: 1248, time: 0.010, data: 0.000) D_A: 0.206 G_A: 0.196 cycle_A: 0.431 idt_A: 0.335 D_B: 0.238 G_B: 0.658 cycle_B: 0.910 idt_B: 0.183 
(epoch: 50, iters: 624, time: 0.011, data: 0.002) D_A: 0.490 G_A: 0.254 cycle_A: 0.472 idt_A: 0.325 D_B: 0.177 G_B: 0.421 cycle_B: 0.827 idt_B: 0.171 
(epoch: 50, iters: 1824, time: 0.009, data: 0.002) D_A: 0.170 G_A: 0.501 cycle_A: 0.439 idt_A: 0.324 D_B: 0.199 G_B: 0.328 cycle_B: 0.857 idt_B: 0.174 
(epoch: 51, iters: 1200, time: 0.011, data: 0.687) D_A: 0.155 G_A: 0.486 cycle_A: 0.402 idt_A: 0.300 D_B: 0.182 G_B: 0.376 cycle_B: 0.767 idt_B: 0.153 
(epoch: 52, iters: 576, time: 0.015, data: 0.002) D_A: 0.165 G_A: 0.434 cycle_A: 0.409 idt_A: 0.323 D_B: 0.571 G_B: 1.350 cycle_B: 0.817 idt_B: 0.164 
