================ Training Loss (Tue Mar 19 00:51:39 2024) ================
(epoch: 26, iters: 1600, time: 0.006, data: 0.331) D_A: 0.133 G_A: 0.522 cycle_A: 2.179 idt_A: 0.638 D_B: 0.264 G_B: 0.812 cycle_B: 1.428 idt_B: 0.934 
(epoch: 27, iters: 1344, time: 0.006, data: 0.001) D_A: 0.144 G_A: 0.543 cycle_A: 1.946 idt_A: 0.521 D_B: 0.214 G_B: 0.301 cycle_B: 1.194 idt_B: 0.861 
(epoch: 28, iters: 1088, time: 0.006, data: 0.001) D_A: 0.138 G_A: 0.632 cycle_A: 1.951 idt_A: 0.547 D_B: 0.255 G_B: 0.202 cycle_B: 1.322 idt_B: 0.874 
(epoch: 29, iters: 832, time: 0.006, data: 0.001) D_A: 0.216 G_A: 0.245 cycle_A: 2.079 idt_A: 0.533 D_B: 0.230 G_B: 0.281 cycle_B: 1.273 idt_B: 0.859 
(epoch: 30, iters: 576, time: 0.006, data: 0.001) D_A: 0.252 G_A: 0.173 cycle_A: 2.220 idt_A: 0.520 D_B: 0.223 G_B: 0.429 cycle_B: 1.196 idt_B: 0.909 
(epoch: 31, iters: 320, time: 0.006, data: 0.001) D_A: 0.162 G_A: 0.560 cycle_A: 1.889 idt_A: 0.532 D_B: 0.205 G_B: 0.326 cycle_B: 1.210 idt_B: 0.826 
(epoch: 32, iters: 64, time: 0.007, data: 0.001) D_A: 0.167 G_A: 0.564 cycle_A: 2.086 idt_A: 0.463 D_B: 0.263 G_B: 0.277 cycle_B: 1.063 idt_B: 0.889 
(epoch: 32, iters: 1664, time: 0.005, data: 0.002) D_A: 0.178 G_A: 0.735 cycle_A: 2.001 idt_A: 0.580 D_B: 0.176 G_B: 0.509 cycle_B: 1.402 idt_B: 0.890 
(epoch: 33, iters: 1408, time: 0.006, data: 0.001) D_A: 0.243 G_A: 0.912 cycle_A: 1.897 idt_A: 0.481 D_B: 0.268 G_B: 0.234 cycle_B: 1.168 idt_B: 0.807 
(epoch: 34, iters: 1152, time: 0.006, data: 0.001) D_A: 0.162 G_A: 0.449 cycle_A: 1.773 idt_A: 0.495 D_B: 0.222 G_B: 0.307 cycle_B: 1.162 idt_B: 0.793 
(epoch: 35, iters: 896, time: 0.006, data: 0.001) D_A: 0.158 G_A: 0.600 cycle_A: 2.010 idt_A: 0.457 D_B: 0.248 G_B: 0.208 cycle_B: 1.161 idt_B: 0.833 
(epoch: 36, iters: 640, time: 0.006, data: 0.001) D_A: 0.180 G_A: 0.347 cycle_A: 2.017 idt_A: 0.504 D_B: 0.259 G_B: 0.286 cycle_B: 1.165 idt_B: 0.839 
(epoch: 37, iters: 384, time: 0.006, data: 0.001) D_A: 0.305 G_A: 1.220 cycle_A: 1.857 idt_A: 0.489 D_B: 0.213 G_B: 0.301 cycle_B: 1.123 idt_B: 0.857 
(epoch: 38, iters: 128, time: 0.006, data: 0.002) D_A: 0.154 G_A: 0.634 cycle_A: 1.995 idt_A: 0.434 D_B: 0.287 G_B: 0.282 cycle_B: 1.024 idt_B: 0.823 
(epoch: 38, iters: 1728, time: 0.005, data: 0.003) D_A: 0.145 G_A: 0.485 cycle_A: 1.791 idt_A: 0.511 D_B: 0.211 G_B: 0.567 cycle_B: 1.183 idt_B: 0.770 
(epoch: 39, iters: 1472, time: 0.006, data: 0.001) D_A: 0.227 G_A: 0.183 cycle_A: 1.795 idt_A: 0.478 D_B: 0.182 G_B: 0.326 cycle_B: 1.104 idt_B: 0.762 
(epoch: 40, iters: 1216, time: 0.006, data: 0.001) D_A: 0.173 G_A: 0.663 cycle_A: 1.756 idt_A: 0.468 D_B: 0.231 G_B: 0.473 cycle_B: 1.112 idt_B: 0.778 
